category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2016 Q4,121194549,Q4,2016,2016,03-01,2016-03-01
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q1,162836804,Q1,2017,2016,06-30,2016-06-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q2,156383482,Q2,2017,2016,09-30,2016-09-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q3,136408637,Q3,2017,2016,12-31,2016-12-31
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q4,118087428,Q4,2017,2017,03-01,2017-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2016 Q4,19051360,Q4,2016,2016,03-01,2016-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q1,24645680,Q1,2017,2016,06-30,2016-06-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q2,25840980,Q2,2017,2016,09-30,2016-09-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q3,23493563,Q3,2017,2016,12-31,2016-12-31
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q4,23336671,Q4,2017,2017,03-01,2017-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2016 Q4,27164307,Q4,2016,2016,03-01,2016-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q1,36157449,Q1,2017,2016,06-30,2016-06-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q2,37595779,Q2,2017,2016,09-30,2016-09-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q3,32993606,Q3,2017,2016,12-31,2016-12-31
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q4,28629835,Q4,2017,2017,03-01,2017-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2016 Q4,10875776,Q4,2016,2016,03-01,2016-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q1,18455619,Q1,2017,2016,06-30,2016-06-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q2,18575862,Q2,2017,2016,09-30,2016-09-30
