category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q3,10307025,Q3,2017,2016,12-31,2016-12-31
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q4,9500201,Q4,2017,2017,03-01,2017-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2016 Q4,186476,Q4,2016,2016,03-01,2016-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q1,266712,Q1,2017,2016,06-30,2016-06-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q2,260430,Q2,2017,2016,09-30,2016-09-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q3,191845,Q3,2017,2016,12-31,2016-12-31
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q4,198884,Q4,2017,2017,03-01,2017-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2016 Q4,2304096,Q4,2016,2016,03-01,2016-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q1,2560056,Q1,2017,2016,06-30,2016-06-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q2,2514621,Q2,2017,2016,09-30,2016-09-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q3,2205595,Q3,2017,2016,12-31,2016-12-31
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q4,2014013,Q4,2017,2017,03-01,2017-03-01
Import Beer,Asia And South Pacific Beer,FY 2016 Q4,1476216,Q4,2016,2016,03-01,2016-03-01
Import Beer,Asia And South Pacific Beer,FY 2017 Q1,1816808,Q1,2017,2016,06-30,2016-06-30
Import Beer,Asia And South Pacific Beer,FY 2017 Q2,1848068,Q2,2017,2016,09-30,2016-09-30
Import Beer,Asia And South Pacific Beer,FY 2017 Q3,1546861,Q3,2017,2016,12-31,2016-12-31
Import Beer,Asia And South Pacific Beer,FY 2017 Q4,1534753,Q4,2017,2017,03-01,2017-03-01
Import Beer,Europe Beer,FY 2016 Q4,23421426,Q4,2016,2016,03-01,2016-03-01
Import Beer,Europe Beer,FY 2017 Q1,28612964,Q1,2017,2016,06-30,2016-06-30
Import Beer,Europe Beer,FY 2017 Q2,28922726,Q2,2017,2016,09-30,2016-09-30
Import Beer,Europe Beer,FY 2017 Q3,26393812,Q3,2017,2016,12-31,2016-12-31
Import Beer,Europe Beer,FY 2017 Q4,23397861,Q4,2017,2017,03-01,2017-03-01
Import Beer,Mexico And Caribbean Beer,FY 2016 Q4,7442899,Q4,2016,2016,03-01,2016-03-01
Import Beer,Mexico And Caribbean Beer,FY 2017 Q1,13960348,Q1,2017,2016,06-30,2016-06-30
Import Beer,Mexico And Caribbean Beer,FY 2017 Q2,15019939,Q2,2017,2016,09-30,2016-09-30
Import Beer,Mexico And Caribbean Beer,FY 2017 Q3,7577561,Q3,2017,2016,12-31,2016-12-31
Import Beer,Mexico And Caribbean Beer,FY 2017 Q4,7203113,Q4,2017,2017,03-01,2017-03-01
Import Beer,Other Country Beer,FY 2016 Q4,46977,Q4,2016,2016,03-01,2016-03-01
Import Beer,Other Country Beer,FY 2017 Q1,58474,Q1,2017,2016,06-30,2016-06-30
Import Beer,Other Country Beer,FY 2017 Q2,56119,Q2,2017,2016,09-30,2016-09-30
Import Beer,Other Country Beer,FY 2017 Q3,48495,Q3,2017,2016,12-31,2016-12-31
Import Beer,Other Country Beer,FY 2017 Q4,47385,Q4,2017,2017,03-01,2017-03-01
Import Beer,USA Beer,FY 2016 Q4,10446022,Q4,2016,2016,03-01,2016-03-01
Import Beer,USA Beer,FY 2017 Q1,14073717,Q1,2017,2016,06-30,2016-06-30
Import Beer,USA Beer,FY 2017 Q2,14998898,Q2,2017,2016,09-30,2016-09-30
Import Beer,USA Beer,FY 2017 Q3,10723643,Q3,2017,2016,12-31,2016-12-31
Import Beer,USA Beer,FY 2017 Q4,9871023,Q4,2017,2017,03-01,2017-03-01
