category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q4,110592944,Q4,2019,2019,03-01,2019-03-01
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q1,141690807,Q1,2020,2019,06-30,2019-06-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q2,134176589,Q2,2020,2019,09-30,2019-09-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q3,116211145,Q3,2020,2019,12-31,2019-12-31
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q4,106411838,Q4,2020,2020,03-01,2020-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q4,30059340,Q4,2019,2019,03-01,2019-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q1,37125580,Q1,2020,2019,06-30,2019-06-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q2,38881905,Q2,2020,2019,09-30,2019-09-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q3,32676604,Q3,2020,2019,12-31,2019-12-31
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q4,32128711,Q4,2020,2020,03-01,2020-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q4,35397841,Q4,2019,2019,03-01,2019-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q1,47516105,Q1,2020,2019,06-30,2019-06-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q2,47929773,Q2,2020,2019,09-30,2019-09-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q3,40888446,Q3,2020,2019,12-31,2019-12-31
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q4,38002801,Q4,2020,2020,03-01,2020-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q4,14393538,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q1,26339720,Q1,2020,2019,06-30,2019-06-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q2,22699174,Q2,2020,2019,09-30,2019-09-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q3,17337308,Q3,2020,2019,12-31,2019-12-31
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q4,17145245,Q4,2020,2020,03-01,2020-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q4,178701,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q1,233987,Q1,2020,2019,06-30,2019-06-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q2,288450,Q2,2020,2019,09-30,2019-09-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q3,177058,Q3,2020,2019,12-31,2019-12-31
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q4,162449,Q4,2020,2020,03-01,2020-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q4,1363775,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q1,1565200,Q1,2020,2019,06-30,2019-06-30
