category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q2,1539645,Q2,2020,2019,09-30,2019-09-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q3,1306420,Q3,2020,2019,12-31,2019-12-31
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q4,1087420,Q4,2020,2020,03-01,2020-03-01
Import Beer,Asia And South Pacific Beer,FY 2019 Q4,1518103,Q4,2019,2019,03-01,2019-03-01
Import Beer,Asia And South Pacific Beer,FY 2020 Q1,1650275,Q1,2020,2019,06-30,2019-06-30
Import Beer,Asia And South Pacific Beer,FY 2020 Q2,1841039,Q2,2020,2019,09-30,2019-09-30
Import Beer,Asia And South Pacific Beer,FY 2020 Q3,1592215,Q3,2020,2019,12-31,2019-12-31
Import Beer,Asia And South Pacific Beer,FY 2020 Q4,1450332,Q4,2020,2020,03-01,2020-03-01
Import Beer,Europe Beer,FY 2019 Q4,23177620,Q4,2019,2019,03-01,2019-03-01
Import Beer,Europe Beer,FY 2020 Q1,27842488,Q1,2020,2019,06-30,2019-06-30
Import Beer,Europe Beer,FY 2020 Q2,27818966,Q2,2020,2019,09-30,2019-09-30
Import Beer,Europe Beer,FY 2020 Q3,26668501,Q3,2020,2019,12-31,2019-12-31
Import Beer,Europe Beer,FY 2020 Q4,22746299,Q4,2020,2020,03-01,2020-03-01
Import Beer,Mexico And Caribbean Beer,FY 2019 Q4,7881960,Q4,2019,2019,03-01,2019-03-01
Import Beer,Mexico And Caribbean Beer,FY 2020 Q1,14956690,Q1,2020,2019,06-30,2019-06-30
Import Beer,Mexico And Caribbean Beer,FY 2020 Q2,15502187,Q2,2020,2019,09-30,2019-09-30
Import Beer,Mexico And Caribbean Beer,FY 2020 Q3,9559544,Q3,2020,2019,12-31,2019-12-31
Import Beer,Mexico And Caribbean Beer,FY 2020 Q4,9093492,Q4,2020,2020,03-01,2020-03-01
Import Beer,Other Country Beer,FY 2019 Q4,106176,Q4,2019,2019,03-01,2019-03-01
Import Beer,Other Country Beer,FY 2020 Q1,102492,Q1,2020,2019,06-30,2019-06-30
Import Beer,Other Country Beer,FY 2020 Q2,115957,Q2,2020,2019,09-30,2019-09-30
Import Beer,Other Country Beer,FY 2020 Q3,80217,Q3,2020,2019,12-31,2019-12-31
Import Beer,Other Country Beer,FY 2020 Q4,72414,Q4,2020,2020,03-01,2020-03-01
Import Beer,USA Beer,FY 2019 Q4,4581223,Q4,2019,2019,03-01,2019-03-01
Import Beer,USA Beer,FY 2020 Q1,6702938,Q1,2020,2019,06-30,2019-06-30
Import Beer,USA Beer,FY 2020 Q2,6753630,Q2,2020,2019,09-30,2019-09-30
Import Beer,USA Beer,FY 2020 Q3,5069786,Q3,2020,2019,12-31,2019-12-31
Import Beer,USA Beer,FY 2020 Q4,2353032,Q4,2020,2020,03-01,2020-03-01
