category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2018 Q4,116904860,Q4,2018,2018,03-01,2018-03-01
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q1,152567512,Q1,2019,2018,06-30,2018-06-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q2,150339008,Q2,2019,2018,09-30,2018-09-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q3,125998063,Q3,2019,2018,12-31,2018-12-31
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q4,109872390,Q4,2019,2019,03-01,2019-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2018 Q4,29045093,Q4,2018,2018,03-01,2018-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q1,36458598,Q1,2019,2018,06-30,2018-06-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q2,39394361,Q2,2019,2018,09-30,2018-09-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q3,32861526,Q3,2019,2018,12-31,2018-12-31
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q4,31816826,Q4,2019,2019,03-01,2019-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2018 Q4,31598669,Q4,2018,2018,03-01,2018-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q1,41731489,Q1,2019,2018,06-30,2018-06-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q2,42654530,Q2,2019,2018,09-30,2018-09-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q3,37733958,Q3,2019,2018,12-31,2018-12-31
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q4,33823008,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2018 Q4,13047287,Q4,2018,2018,03-01,2018-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q1,24014588,Q1,2019,2018,06-30,2018-06-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q2,22384440,Q2,2019,2018,09-30,2018-09-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q3,16169155,Q3,2019,2018,12-31,2018-12-31
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q4,14035951,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2018 Q4,271441,Q4,2018,2018,03-01,2018-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q1,388144,Q1,2019,2018,06-30,2018-06-30
