category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q2,498839,Q2,2019,2018,09-30,2018-09-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q3,347874,Q3,2019,2018,12-31,2018-12-31
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q4,352050,Q4,2019,2019,03-01,2019-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2018 Q4,1878655,Q4,2018,2018,03-01,2018-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q1,2059884,Q1,2019,2018,06-30,2018-06-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q2,2007055,Q2,2019,2018,09-30,2018-09-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q3,1984037,Q3,2019,2018,12-31,2018-12-31
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q4,1536142,Q4,2019,2019,03-01,2019-03-01
Import Beer,Asia And South Pacific Beer,FY 2018 Q4,1465471,Q4,2018,2018,03-01,2018-03-01
Import Beer,Asia And South Pacific Beer,FY 2019 Q1,1583739,Q1,2019,2018,06-30,2018-06-30
Import Beer,Asia And South Pacific Beer,FY 2019 Q2,1791448,Q2,2019,2018,09-30,2018-09-30
Import Beer,Asia And South Pacific Beer,FY 2019 Q3,1487199,Q3,2019,2018,12-31,2018-12-31
Import Beer,Asia And South Pacific Beer,FY 2019 Q4,1507695,Q4,2019,2019,03-01,2019-03-01
Import Beer,Europe Beer,FY 2018 Q4,24636331,Q4,2018,2018,03-01,2018-03-01
Import Beer,Europe Beer,FY 2019 Q1,28682718,Q1,2019,2018,06-30,2018-06-30
Import Beer,Europe Beer,FY 2019 Q2,28976904,Q2,2019,2018,09-30,2018-09-30
Import Beer,Europe Beer,FY 2019 Q3,27350845,Q3,2019,2018,12-31,2018-12-31
Import Beer,Europe Beer,FY 2019 Q4,23165926,Q4,2019,2019,03-01,2019-03-01
Import Beer,Mexico And Caribbean Beer,FY 2018 Q4,8077358,Q4,2018,2018,03-01,2018-03-01
Import Beer,Mexico And Caribbean Beer,FY 2019 Q1,15229807,Q1,2019,2018,06-30,2018-06-30
Import Beer,Mexico And Caribbean Beer,FY 2019 Q2,15871776,Q2,2019,2018,09-30,2018-09-30
Import Beer,Mexico And Caribbean Beer,FY 2019 Q3,8657932,Q3,2019,2018,12-31,2018-12-31
Import Beer,Mexico And Caribbean Beer,FY 2019 Q4,7883937,Q4,2019,2019,03-01,2019-03-01
Import Beer,Other Country Beer,FY 2018 Q4,155423,Q4,2018,2018,03-01,2018-03-01
Import Beer,Other Country Beer,FY 2019 Q1,143945,Q1,2019,2018,06-30,2018-06-30
Import Beer,Other Country Beer,FY 2019 Q2,195544,Q2,2019,2018,09-30,2018-09-30
Import Beer,Other Country Beer,FY 2019 Q3,140413,Q3,2019,2018,12-31,2018-12-31
Import Beer,Other Country Beer,FY 2019 Q4,106176,Q4,2019,2019,03-01,2019-03-01
Import Beer,USA Beer,FY 2018 Q4,7069654,Q4,2018,2018,03-01,2018-03-01
Import Beer,USA Beer,FY 2019 Q1,7349833,Q1,2019,2018,06-30,2018-06-30
Import Beer,USA Beer,FY 2019 Q2,7320089,Q2,2019,2018,09-30,2018-09-30
Import Beer,USA Beer,FY 2019 Q3,5838994,Q3,2019,2018,12-31,2018-12-31
Import Beer,USA Beer,FY 2019 Q4,4574141,Q4,2019,2019,03-01,2019-03-01
